asin,review
B09S6FWS7W,"
I purchased these because I thought I could use them, however the faucet at my sink is in a location that I cannot use it.I will check with my kids and grandkids to see if they work for them, if not I will have to return them.
"
B09S6FWS7W,"
Take a good look at your faucet before purchasing. They won’t work on mine. I’m prob going to go buy a suction hook to put near the sink on the counter. Hopefully that will work.
"
B09S6FWS7W,"
We have a standard size faucet at the kitchen sink. However, the hook on this strainer doesn’t fit around it like it shows in the ad. Disappointing.
"
B09S6FWS7W,"
I really like this product. The only thing that I don't like is that the curved hook is way to large . It falls off the standard size kitchen  sink faucet . It doesn't curve around enough . I think it is made for the new model faucets that are thicker at the bottom . It is not made with any suction so it's constantly falling off but it does its job
"
B09S6FWS7W,"
Don’t fit on my faucet very well. Won’t do what designed for or what I wanted ONE for. Why they only come in multiple packages is beyond me.
"
B09S6FWS7W,"
Too ugly for sink. The concept was good but the product is useless
"
B09S6FWS7W,"
I have an over size faucet and the neck is too small to hang in corner of sink.
"
B09S6FWS7W,"
It didn't fit my faucet. Make sure you check the size
"
B09S6FWS7W,"
Small attatchment hook. Be sure to measure your faucet!
"
B09S6FWS7W,"
Great idea, ordered 4pack, arrived today and does not fit around base of my Kitchen  faucet,ugh
"
B09S6FWS7W,"
Didn’t fit my fsucet
"
B09S6FWS7W,"
Great idea but unfortunately this didn’t fit around my faucet. Nowhere to hang it off of. Works fine sitting in sink but defeats the purpose.  Disappointed it says fits all.
"
B09S6FWS7W,"
This product doesn’t fit all sinks
"
B09S6FWS7W,"
Not big enough for the faucet
"
B09S6FWS7W,"
Deceiving pictures doesn’t show it on a real sink faucet! Too big and not long enough. Very disappointed ☹️
"
B09S6FWS7W,"
Easy to clean and sturdy. Suction does not spply
"
B09S6FWS7W,"
these ""swan"" baskets do not fit my faucet. I returned them and they WILL NOT REFUND MY MONEY. They gave me a dredit with their company. I am a premiun account holder. They said to keep the product instead of returning, what a gimmick!
"
B09S6FWS7W,"
As described in the product information - that the product fits all faucets - NOT true!!  The product did not fit around my faucet base - totally disappointed but will keep since I had decided to purchase for some family/friends too - hoping the product will fit around their faucet bases???  Was totally looking forward to this product doing exactly what the definition said because it would have been a most useful product since often cooking requires this (potentially) convenient drainage.  Oh, well, things are not always what they appear and or say!
"
B09S6FWS7W,"
They do not fit on my kitchen faucet. Nor do they fit on the faucets of the people I shared them with
"
B09S6FWS7W,"
it did not reach around the base of my faucet  But as a strainer it works great
"
B09S6FWS7W,"
They are well made. But they did not fit around the base of my kitchen faucet.
"
B09S6FWS7W,"
Doesn’t fit all sinks
"
B09S6FWS7W,"
I thought these would have bendable heads to conform to different sinks. They are hard plastic and would fit few sinks. Had to return. P
"
B09S6FWS7W,"
It was too small to hang on my faucet. It popped up in the air and wouldn't sit flatUseless.
"
B09S6FWS7W,"
I tried it on 2 different sinks. Does not work as pictured. Sink base too wide.
"
B09S6FWS7W,"
They did not fit my faucets.
"
B09S6FWS7W,"
I love the idea, bit it does not fit around my sink faucet.  I sit it in the sink, but it is basically useless.
"
B09S6FWS7W,"
The neck on this item is not long enough to fit most sinks.  Poor product, not flexible enough, plastic too hard
"
B09S6FWS7W,"
Didn’t fit my kitchen faucet so had to return! Soooo disappointed
"
B09S6FWS7W,"
Neck too small to fit around average sink faucet
"
B09S6FWS7W,"
Did not fit around faucet and did not strain well.
"
B09S6FWS7W,"
Disliked that it didn’t fit faucet, broken, and defective
"
B09S6FWS7W,"
These do not fit the corner of my sink nor around the facet. Sadly, I missed the rerun window. I love the idea though. I wish the neck was a little more flexible to go around my facet’s base.
"
B09S6FWS7W,"
Returned.  They didn't fit my sink hardware.
"
B09S6FWS7W,"
I tried the swan on three different kitchen sinks and it didn’t fit any of them.
"
B09S6FWS7W,"
I love the idea but… it doesn’t stay in place for me at all and the 4 pack I have no use for even two…
"
B09S6FWS7W,"
sent back  does not fit and not as pictured....all hooks in same direction not two left and two facing right
"
B09S6FWS7W,"
Will not fit on a large base faucet
"
B09S6FWS7W,"
Doesn't wrap around kitchen faucet.
"
B09S6FWS7W,"
Does not fit all faucets…….
"
B09S6FWS7W,"
I THOUGHT I WOULD LIKE THIS PRODUCT BUT IT WILL NOT FIT MY SINK!!! SO AS IT TURNES OUT I HAVE NO USE FOR THEM...
"
B09S6FWS7W,"
Does not fit on any sink I have tried it on
"
B09S6FWS7W,"
Doesn't fit wider faucets
"
B09S6FWS7W,"
They fit no sink. The curves to go around the faucet all went same direction this fit no sink. Very disappointed
"
B09S6FWS7W,"
The neck is not long enough to attach to my faucet and hang over the sink.  Sending it back. One does not fit all.
"
B09S6FWS7W,"
Did not work for my faucet setup. Looks great in the advertising video but not practical for all sink types.
"
B09S6FWS7W,"
It does the job though it doesn't line up with the faucet to hang right. It does sit in the corner but if too much weight gets in it, it will tip and spill. A little disappointed that it didn't sit right with my sink.
"
B09S6FWS7W,"
This product does not work for all sink types. It’s a great concept and would be perfect for the right kind of sink. I sadly didn’t have a sink it would work with.
"
B09S6FWS7W,"
I purchased two pack of this item to divide between myself and my daughter-in-law’s. These do not fit in my sink. They also did not fit in one of my daughter-in-law’s sink. I haven’t given the other girls them yet but I’m guessing they won’t work in theirs either. Safe your money.
"
B09S6FWS7W,"
Does what I need but doesn’t work for my sink so I had to modify.
"
B09S6FWS7W,"
This didn’t fix around the faucet like it says it will!
"
B09S6FWS7W,"
very cheaply made and was cracked when i received it.  Did not fit around my faucet either.
"
B09S6FWS7W,"
Did not fit my sink and I have returned them
"
B09S6FWS7W,"
These work great if you have a standard sink/faucet
"
B09S6FWS7W,"
Cool concept but needs work. It didn’t fit my sink the way I thought it would.Be aware: you need a very specific size and type of sink and faucet for it to work. It’s really not very universal. It’s small, and not a great value for the price in my opinion. This would be a cool item if it was a better design.
"
B09S6FWS7W,"
Cheaply made
"
B09S6FWS7W,"
Doesn't fit around the Moen faucet.
"
B09S6FWS7W,"
as above does not fit my kitchen facet,  they did return my money
"
B09S6FWS7W,"
The product was as it was described but it doesn't fit thick faucets. If you have a kitchen faucet that has a pull out sprayer, this product will not fit.
"
B09S6FWS7W,"
Doesn’t fit sink nozzle
"
B09S6FWS7W,"
This does not fit my faucet. Not even close.  A total waste of my money.  I believe it was shipped from overseas, so it is next to impossible to return and get a refund.  Looks like it will be donated to a thrift store.
"
B09S6FWS7W,"
It was simply a piece of garbage - would not fit either my sink or most sinks I know of. The little hook would fit around only the oldest faucets. And it comes from an address of Joe Doe in Delaware - web page based in China. I checked BBB - seeing the Joe Doe in the return address raised red flags in my mind. Amazon did refund my money right away.
"
B09S6FWS7W,"
When I saw these I knew I wanted them, so I ordered. It took a while to get them. When they did arrive, of course, I tried them on my kitchen sink right away. Whomp, whomp ... a good idea, but doesn't fit all faucets. I don't even know how to suggest what faucet it would work on. It didn't fit in the corner of my sink, it was more on top
"
B09S6FWS7W,"
The basket itself is pretty sturdy, but the neck that is supposed to hang on your faucet is really flimsy and can't handle much weight at all.
"
B09S6FWS7W,"
They do not fit on typical single faucets. The hook part is not nearly big enough to fit around the faucet to hang over the sink. The neck is not long enough either even if the hook would accommodate the faucet. These looked useful but sadly are not.
"
B09S6FWS7W,"
Doesn't fit universally. Wish the hook was made for a range of a few sizes bigger/wider. The hook is too shallow. Wish they came up with an adjustable type hook or closure. I have to manually set up down on my sink and it gets buried under dishes easily, making it inaccessible when I need it most. It won't even stay put on the corner lip of the sink.
"
B09S6FWS7W,"
Does not fit around all faucets
"
B09S6FWS7W,"
Too awkward. I purchased thinking it would stop the food going into sink strainer.  Food went right though holes in product defeating the reason I purchased it.  Products was a lot larger than I expected.
"
B09S6FWS7W,"
Very well made it just doesn’t fit on my faucet which makes it useless to me. Nice product I just wish it fit all faucets
"
B09S6FWS7W,"
Doesn't fit around faucet, very disappointed. I tossed it
"
B09S6FWS7W,"
Darn what a good idea, but the swan neck was too small to fit around our faucet base. I still use it in the sink, but do measure if you want to hang this as shown.
"
B09S6FWS7W,"
Did not fit my kitchen faucet too small returning.
"
B09S6FWS7W,"
Can't use. It doesn't fit my sink facet at all. Sorry!!!!
"
B09S6FWS7W,"
It was constructed well, small inside basket the perimeter was too thickly made although it was sturdy.
"
